Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,114.59722548117625,4.8398683711600565,0.0,0.0
AAPL,81.90895405397885,0.7005500908489148,2.8101508853649224,0.0
AMZN,69.24013191279116,0.04837895498666147,5.2336120142211975,0.0
BAC,49.01419479536361,0.9701890828085038,23.06437750779026,0.0
F,102.30816608580699,0.0,11.624203821656048,0.0
GOOG,56.216736901935306,1.2070551202459967,30.03900919408453,0.0
IBM,56.244466474932764,1.2464530235820663,6.784269962866802,0.0
INTC,60.041141405032626,0.811858124823103,6.1239960845598915,0.0
NVDA,241.9584703924646,0.0,6.235733162213121,0.0
XOM,72.84010293066393,1.7328877543752204,7.172074550858267,0.0
,90.43695904341459,1.1557240522830523,9.908742718361506,0.0
